Metric,Direction,Hard,Easy,Medium,Hard_minus_Easy,Hard_minus_Medium
Average Reward,higher_is_better,0.4939267134132549,0.5961999547613662,0.5796991630852748,-0.10227324134811133,-0.08577244967201991
Good Decision Rate,higher_is_better,0.7457588780818819,0.7980999773806831,0.7895951142275504,-0.05234109929880115,-0.04383623614566845
Useful Intervention Rate,higher_is_better,0.04397195204704818,0.0,0.0046143406469124635,0.04397195204704818,0.03935761140013572
Unnecessary Intervention Rate,lower_is_better,0.09631305134584936,0.0,0.013119203800045238,0.09631305134584936,0.08319384754580413
